text,no_char,transformed_text
Hey i will be late ah... Meet you at 945+,41,hey late ah meet
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",149,doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402
It took Mr owl 3 licks,22,took mr owl 3 lick
Customer place i will call you.,31,custom place call
Mm that time you dont like fun,30,mm time dont like fun
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,155,4mth half price orang line rental latest camera phone 4 free phone 11mth call mobilesdirect free 08000938767 updat or2stoptxt
Yup having my lunch buffet now.. U eat already?,47,yup lunch buffet u eat alreadi
Huh so late... Fr dinner?,25,huh late fr dinner
Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,80,hey sat go intro pilat kickbox
Morning only i can ok.,22,morn ok
Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,115,ye think offic lap room think that last day didnt shut
Pick you up bout 7.30ish? What time are  and that going?,56,pick bout time go
From here after The performance award is calculated every two month.not for current one month period..,102,perform award calcul everi two current one month period
Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,118,actual sleep still might u call back text gr8 rock si send u text wen wake
"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",221,alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat
"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",204,good even sir al salam happi grace god got offer tayseer tissco allah meet visitor india
Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,114,hmmm k want chang field quickli da wan na get system administr network administr
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",158,free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone txt stop
Dear how is chechi. Did you talk to her,39,dear chechi talk
The hair cream has not been shipped.,36,hair cream ship
None of that's happening til you get here though,48,none happen til get though
"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",77,yep great loxahatche xma tree burn lt gt start hour
"Haha get used to driving to usf man, I know a lot of stoners",60,haha get use drive usf man know lot stoner
All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,168,well slightli disastr class pm fav darl hope day coffe wld good ca stay late tomorrow time place alway
Hello! Good week? Fancy a drink or something later?,51,hello good week fanci drink someth later
Headin towards busetop,22,headin toward busetop
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,152,messag text miss sender name miss number miss sent date miss miss u lot that everyth miss sent via
Come by our room at some point so we can iron out the plan for this weekend,75,come room point iron plan weekend
Cos i want it to be your thing,30,co want thing
"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",95,oki go yan jiu skip ard oso go cine den go mrt one blah blah blah
Bring home some Wendy =D,24,bring home wendi
100 dating service cal;l 09064012103 box334sk38ch,49,100 date servic cal l 09064012103 box334sk38ch
Whatsup there. Dont u want to sleep,35,whatsup dont u want sleep
Alright i have a new goal now,29,alright new goal
FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,107,free entri weekli competit text word win 80086 18 c
"Alright, I'll head out in a few minutes, text me where to meet you",66,alright head minut text meet
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,159,send logo 2 ur lover 2 name join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p
Yes:)from last week itself i'm taking live call.,48,ye last week take live call
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,162,someon contact date servic enter phone fanci find call landlin 09111032124 pobox12n146tf150p
Siva is in hostel aha:-.,24,siva hostel aha
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,137,urgent mobil number award prize guarante call 09058094455 land line claim valid 12hr
Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,248,send ur friend receiv someth ur voic speak express attitud lt gt lt gt repli
Ok. She'll be ok. I guess,25,guess
aathi..where are you dear..,27,aathi dear
Any pain on urination any thing else?,37,pain urin thing els
7 at esplanade.. Do Ì_ mind giving me a lift cos i got no car today..,69,7 esplanad mind give lift co got car today
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,150,wnt buy bmw car urgent vri hv shortag lt gt sourc arng di amt lt gt lac that prob
At home watching tv lor.,24,home watch tv lor
Does she usually take fifteen fucking minutes to respond to a yes or no question,80,usual take fifteen fuck minut respond ye question
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,157,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil close 300603 post bcm4284 ldn wc1n3xx
Booked ticket for pongal?,25,book ticket pongal
You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,73,avail like right around hillsborough amp lt gt th
The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,89,messag sent askin lt gt dollar shoul pay lt gt lt gt
"Ask g or iouri, I've told the story like ten times already",58,ask g iouri told stori like ten time alreadi
How long does applebees fucking take,36,long applebe fuck take
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",76,hi hope u get hasnt gd 50 min late think
But i have to. I like to have love and arrange.,47,like love arrang
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,104,ye realli great bhaji told kalli best cricket sachin world tough get
You were supposed to wake ME up &gt;:(,38,suppos wake gt
Oic... I saw him too but i tot he din c me... I found a group liao...,69,oic saw tot din c found group liao
\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS,66,hey wereth monkeespeopl say monkeyaround howdi gorgeou
"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",94,sorri batteri die come get gram place
"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm. ",70,well done blimey exercis yeah kinda rememb wot hmm
I wont get concentration dear you know you are my mind and everything :-),73,wont get concentr dear know mind everyth
LOL ... Have you made plans for new years?,42,lol made plan new year
10 min later k...,17,10 min later k
hanks lotsly!,13,hank lotsli
Thanks for this hope you had a good day today,45,thank hope good day today
K:)k:)what are detail you want to transfer?acc no enough?,57,k k detail want transfer acc enough
Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,105,ok tell stay yeah tough optimist thing improv month
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",164,loan purpos homeown tenant welcom previous refus still help call free 0800 1956669 text back
Si si. I think ill go make those oreo truffles.,47,si si think ill go make oreo truffl
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY.",117,look ami ure beauti intellig woman like u lot know u donåõt like like donåõt worri
I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,158,hope result consist intellig kind start ask practicum link keep ear open best ttyl
"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",79,call cost guess isnt bad miss ya need ya want ya love ya
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,142,go thru differ decis cope heal everyth believ
Where did u go? My phone is gonna die you have to stay in here,62,u go phone gon na die stay
Great. Never been better. Each day gives even more reasons to thank God,71,great never better day give even reason thank god
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",175,upgrdcentr orang custom may claim free camera phone upgrad loyalti call 0207 153 offer end 26th juli c appli avail
"Sorry, I'll call later ok bye",29,sorri call later ok bye
Ok i am on the way to railway,29,ok way railway
great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),148,great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night
They don't put that stuff on the roads to keep it from getting slippery over there?,83,put stuff road keep get slipperi
When are you going to ride your bike?,37,go ride bike
"Yup, no need. I'll jus wait 4 e rain 2 stop.",44,yup need ju wait 4 e rain 2 stop
There are many company. Tell me the language.,45,mani compani tell languag
okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,161,okmail dear dave final notic collect 4 tenerif holiday 5000 cash award call 09061743806 landlin tc sae box326 cw25wx 150ppm
"How long has it been since you screamed, princess?",50,long sinc scream princess
"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",298,noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also sure trust 9ja person send account detail co
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,159,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network txting moan 69888nyt ec2a 150p
Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),125,nice line said broken plz cum 1 time infront wise trust u good 9t
Ok I'm gonna head up to usf in like fifteen minutes,51,ok gon na head usf like fifteen minut
Love you aathi..love u lot..,28,love aathi love u lot
Tension ah?what machi?any problem?,34,tension ah machi problem
"K, can I pick up another 8th when you're done?",46,k pick anoth 8th done
When're you guys getting back? G said you were thinking about not staying for mcr,81,guy get back g said think stay mcr
"Almost there, see u in a sec",28,almost see u sec
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",90,yo carlo friend alreadi ask work weekend
Watching tv lor...,18,watch tv lor
Thank you baby! I cant wait to taste the real thing...,54,thank babi cant wait tast real thing
You should change your fb to jaykwon thuglyfe falconerf,55,chang fb jaykwon thuglyf falconerf
If we win its really no 1 side for long time.,45,win realli 1 side long time
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",146,free messag activ 500 free text messag repli messag word free term condit visit
Dear reached railway. What happen to you,40,dear reach railway happen
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",107,depend qualiti want type sent boy fade glori want ralph mayb 2
I think i've fixed it can you send a test message?,50,think fix send test messag
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",120,sorri man account dri would want could trade back half could buy shit credit card
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",160,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss
"Sorry,in meeting I'll call later",32,sorri meet call later
What class of  &lt;#&gt;  reunion?,34,class lt gt reunion
Are you free now?can i call now?,32,free call
Got meh... When?,16,got meh
Nope... Think i will go for it on monday... Sorry i replied so late,67,nope think go monday sorri repli late
Some of them told accenture is not confirm. Is it true.,55,told accentur confirm true
"Kate jackson rec center before 7ish, right?",43,kate jackson rec center 7ish right
Dear i have reache room,23,dear reach room
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",149,fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose
When can Ì_ come out?,21,come
Check with nuerologist.,23,check nuerologist
Lolnice. I went from a fish to ..water.?,40,lolnic went fish water
+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,170,congratul week competit draw u prize claim call 09050002311 b4280703 sm 18 150ppm
No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.,117,wait e car dat bore wat co wait outsid got noth 2 home stuff watch tv wat
"Maybe westshore or hyde park village, the place near my house?",62,mayb westshor hyde park villag place near hous
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,166,know anthoni bring money school fee pay rent stuff like that need help friend need
What's the significance?,24,signific
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,136,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",99,8 latest g still scroung ammo want give new ak tri
Prabha..i'm soryda..realy..frm heart i'm sory,45,prabha soryda reali frm heart sori
Lol ok your forgiven :),23,lol ok forgiven
No..jst change tat only..,25,jst chang tat
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",148,guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h
S:)no competition for him.,26,competit
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,146,boltblu tone 150p repli poli mono eg poly3 cha cha slide yeah slow jamz toxic come stop 4 tone txt
Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,89,credit top http renew pin tgxxrz
"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",168,way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri
Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,117,usual person unconsci children adult may behav abnorm call
But that's on ebay it might be less elsewhere.,46,ebay might less elsewher
Shall i come to get pickle,26,shall come get pickl
Were gonna go get some tacos,28,gon na go get taco
"That's very rude, you on campus?",32,rude campu
"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",145,urgent mobil award bonu caller prize 2nd attempt contact call box95qu
Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,57,hi wo b ard 4 christma enjoy n merri
"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",160,today offer claim ur worth discount voucher text ye 85023 savamob member offer mobil cs sub 16 unsub repli x
Yes! How is a pretty lady like you single?,42,ye pretti ladi like singl
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,111,reciev tone within next 24hr term condit pleas see channel u teletext pg 750
Jay says that you're a double-faggot,36,jay say
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,146,privat 2003 account statement 07815296484 show 800 point call 08718738001 identifi code 41782 expir
What Today-sunday..sunday is holiday..so no work..,50,sunday holiday work
I'll be late...,15,late
"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",177,call hope l8r malaria know miss guy miss bani big pl give love especi great day
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",160,good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea
"Probably gonna be here for a while, see you later tonight &lt;)",63,probabl gon na see later tonight lt
Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,84,mayb fat finger press button know
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,84,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear
"I am in tirupur da, once you started from office call me.",57,tirupur da start offic call
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,96,monthlysubscript csc web age16 2stop txt stop
"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",169,famou quot develop abil listen uncondit without lose temper self confid mean
But am going to college pa. What to do. are else ill come there it self. Pa.,76,go colleg els ill come self pa
4 oclock at mine. Just to bash out a flat plan.,47,4 oclock mine bash flat plan
This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,130,girl stay bed girl need recoveri time id rather pass fun coop bed
Then any special there?,23,special
I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,149,know need get hotel got invit apologis cali sweet come english bloke weddin
"Sorry that took so long, omw now",32,sorri took long omw
Wait  &lt;#&gt;  min..,22,wait lt gt min
Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,101,ok give 5 minut think see btw alibi cut hair whole time
"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",281,imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck
"Hurry up, I've been weed-deficient for like three days",54,hurri like three day
"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",120,sure get acknowledg astoundingli tactless gener faggi demand blood oath fo
Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,138,everi night take warm bath drink cup milk see work magic still need loos weight know
IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,135,look fri pan case cheap book perhap silli fri pan like book
O. Well uv causes mutations. Sunscreen is like essential thesedays,66,well uv caus mutat sunscreen like essenti theseday
Having lunch:)you are not in online?why?,40,lunch onlin
I know that my friend already told that.,40,know friend alreadi told
Hi Princess! Thank you for the pics. You are very pretty. How are you?,70,hi princess thank pic pretti
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",160,aiyo u alway c ex one dunno abt mei repli first time u repli fast lucki workin huh got bao ur sugardad ah gee
Hi msg me:)i'm in office..,26,hi msg offic
Thanx 4 e brownie it's v nice...,32,thanx 4 e browni v nice
Geeeee ... I love you so much I can barely stand it,51,geeeee love much bare stand
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,160,gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm
"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...",146,fuck babe miss alreadi know ca let send money toward net need want crave
"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",103,ill call u 2mrw ninish address icki american freek wont stop callin 2 bad jen k eh
Oooh bed ridden ey? What are YOU thinking of?,45,oooh bed ridden ey think
"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",142,anyway go gym whatev love smile hope ok good day babe miss much alreadi
Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,92,love daddi make scream pleasur go slap ass dick
WOT U WANNA DO THEN MISSY?,26,wot u wan na missi
Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,134,yar lor wait 4 mum 2 finish sch lunch lor whole morn stay home clean room room quit clean hee
Do you know where my lab goggles went,37,know lab goggl went
Can you open the door?,22,open door
Waiting for your call.,22,wait call
Nope i waiting in sch 4 daddy... ,33,nope wait sch 4 daddi
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",69,cash prize claim call09050000327
"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",109,tire argu week week want
ÌÏ wait 4 me in sch i finish ard 5..,36,ìï wait 4 sch finish ard 5
"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",100,mobil number claim call us back ring claim hot line 09050005321
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",140,arngd marriag u r walkin unfortuntli snake bite bt love marriag danc frnt snake amp sayin bite bite
Huh so early.. Then Ì_ having dinner outside izzit?,51,huh earli dinner outsid izzit
Ok anyway no need to change with what you said,46,ok anyway need chang said
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,149,tri contact repli offer 750 min 150 textand new video phone call 08002988890 repli free deliveri tomorrow
my ex-wife was not able to have kids. Do you want kids one day?,63,abl kid want kid one day
So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,95,scotland hope show jjc tendenc take care live dream
Tell them u have a headache and just want to use 1 hour of sick time.,69,tell u headach want use 1 hour sick time
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",110,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
"\Pete can you please ring meive hardly gotany credit\""""",55,pleas ring meiv hardli gotani
Ya srsly better than yi tho,27,ya srsli better yi tho
"I'm in a meeting, call me later at",34,meet call later
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",127,ur chanc win wkli shop spree txt shop c custcar 08715705022
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,142,special select receiv 2000 pound award call 08712402050 line close cost 10ppm cs appli ag promo
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,148,privat 2003 account statement 07753741225 show 800 point call 08715203677 identifi code 42478 expir
You still at grand prix?,24,still grand prix
"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",147,met stranger choos friend long world stand friendship never end let friend forev gud nitz
I am great! How are you?,24,great
Gud mrng dear have a nice day,29,gud mrng dear nice day
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,86,import custom servic announc call freephon 0800 542 0825
Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,87,exhaust train morn much wine pie sleep well
I'm going out to buy mum's present ar.,38,go buy mum present ar
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,104,mind blastin tsunami occur rajnik stop swim indian ocean
If u sending her home first it's ok lor. I'm not ready yet.,59,u send home first ok lor readi yet
Speaking of does he have any cash yet?,38,speak cash yet
Be happy there. I will come after noon,38,happi come noon
Meet after lunch la...,22,meet lunch la
TaKe CaRE n gET WeLL sOOn,25,take care n get well soon
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,135,xclusiv clubsaisai 2morow soire special zouk nichol rose 2 ladi info
what I meant to say is cant wait to see u again getting bored of this bridgwater banter,87,meant say cant wait see u get bore bridgwat banter
Neva mind it's ok..,19,neva mind ok
"It's fine, imma get a drink or somethin. Want me to come find you?",66,fine imma get drink somethin want come find
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,140,22 day kick euro2004 u kept date latest news result daili remov send get txt stop 83222
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,156,valentin game send di msg ur friend 5 answer r someon realli love colour suit best rpli
I have many dependents,22,mani depend
THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,107,thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u
I called and said all to him:)then he have to choose this future.,65,call said choos futur
"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""",149,valentin know earli hundr handsom beauti wish thought finish aunti uncl 1st
He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,137,like v shock leh co tell shuhui like tell leona also like dat almost know liao got ask abt ur reaction lor
For my family happiness..,25,famili happi
I come n pick Ì_ up... Come out immediately aft ur lesson...,60,come n pick come immedi aft ur lesson
Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,103,let snow let snow kind weather bring ppl togeth friendship grow
Dear we got  &lt;#&gt;  dollars hi hi,37,dear got lt gt dollar hi hi
Good words.... But words may leave u in dismay many times.,58,good word word may leav u dismay mani time
MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,87,make sure alex know birthday fifteen minut far concern
"sorry, no, have got few things to do. may be in pub later.",58,sorri got thing may pub later
"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",123,nah straight bring bud drink someth actual littl use straight cash
"Haha good to hear, I'm officially paid and on the market for an 8th",67,haha good hear offici paid market 8th
How many licks does it take to get to the center of a tootsie pop?,66,mani lick take get center tootsi pop
Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,102,yup thk r e teacher said make face look longer darren ask 2 cut short
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,130,new textbuddi chat 2 horni guy ur area 4 25p free 2 receiv search postcod txt one name 89693
Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,150,today vodafon number end 4882 select receiv award number match call 09064019014 receiv award
Please dont say like that. Hi hi hi,35,pleas dont say like hi hi hi
Thank u!,8,thank u
Oh that was a forwarded message. I thought you send that to me,62,oh forward messag thought send
Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.,58,got seventeen pound seven hundr ml hope ok
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",143,dear voucher holder 2 claim week offer pc go http ts cs stop text txt stop 80062
Me n him so funny...,20,n funni
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",100,sweetheart hope kind day one load reason smile biola
When Ì_ login dat time... Dad fetching Ì_ home now?,51,login dat time dad fetch home
"What will we do in the shower, baby?",36,shower babi
I had askd u a question some hours before. Its answer,53,askd u question hour answer
"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",88,well imma definit need restock thanksgiv let know
" said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! ",133,said kiss kiss ca sound effect gorgeou man kind person need smile brighten day
